iteration,selected,score,min_distance,max_distance,avg_distance
0,ai_generate_ideas_no_role_gpt_08,0.5157909507260123,,,
0,ai_generate_diverse_ideas_claude_03,0.5157909507260123,,,
1,ai_generate_diverse_ideas_gpt_05,0.3690835849861327,0.3690835849861327,0.4823663896315781,0.42572498730885533
2,ai_generate_diverse_ideas_llama_08_2,0.3517856779335756,0.3517856779335756,0.45231338575594393,0.39331464091628554
3,ai_generate_diverse_ideas_gpt_04,0.3171726181749711,0.3171726181749711,0.42481936333352155,0.35112367041220677
4,ai_generate_ideas_no_role_qwen_04,0.30480057751759404,0.30480057751759404,0.45527610200355606,0.356372554362428
5,ai_generate_diverse_ideas_llama_04_2,0.30198540991413836,0.30198540991413836,0.4824194026240429,0.3504510810101397
6,ai_generate_ideas_no_role_llama_10,0.2884457575777122,0.2884457575777122,0.46975590330023487,0.32286089709387694
7,ai_generate_ideas_no_role_qwen_09,0.28435728653191883,0.28435728653191883,0.48433315358388374,0.33243698301315744
8,ai_generate_diverse_ideas_llama_01,0.2737118483281964,0.2737118483281964,0.4624913782447255,0.3259970149571678
9,ai_generate_diverse_ideas_gpt_06,0.2609075566094906,0.2609075566094906,0.45652905421964973,0.32317836656744636
