year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,human_reviewer_id,ai_source
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Open Science Compliance,0.13125757401720517,0.8793634474401784,4,0.1111111111111111,0.05826427128040136,0.9990476190476191,agree,0.1080952380952381,0.11000000000000001,positive,positive,same_direction,1.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Open Science Compliance,0.16957781650596807,0.847232284508047,4,0.1111111111111111,0.044931737266931344,0.989313725490196,agree,0.13137254901960785,0.11000000000000001,positive,positive,same_direction,2.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Open Science Compliance,0.08112769192071642,0.7897689974653533,2,0.05263157894736842,0.07551441052819717,0.995,partial,0.09999999999999999,0.11000000000000001,neutral,positive,same_direction,3.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Open Science Compliance,0.05349300031943796,0.7549257570115083,1,0.02564102564102564,0.06875806312686226,0.855,agree,0.4,0.11000000000000001,positive,positive,same_direction,4.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Open Science Compliance,0.07118316312717018,0.6378400131081849,1,0.034482758620689655,0.09838050313390614,0.9,partial,0.0,0.2,neutral,positive,neutral,1.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Open Science Compliance,0.05654684600421751,0.8114401483188075,1,0.03571428571428571,0.09849120902575506,0.9,partial,0.0,0.2,neutral,positive,neutral,2.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Open Science Compliance,0.04000024699429192,0.7194685074805516,1,0.027777777777777776,0.0808506523123852,0.975,agree,0.25,0.2,positive,positive,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Open Science Compliance,0.17492744211254146,0.8604438613294824,4,0.1111111111111111,0.06273834751794784,0.9333333333333333,partial,0.13333333333333333,0.0,positive,neutral,neutral,1.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Open Science Compliance,0.0,0.5284293363871609,0,0.0,0.9673058478750238,1.0,agree,0.0,0.0,neutral,neutral,neutral,2.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Open Science Compliance,0.17565553308419948,0.8923732428670743,4,0.14814814814814814,0.09560240457984887,1.0,agree,0.0,0.0,neutral,neutral,neutral,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Open Science Compliance,0.038431464450811505,0.6608765954386833,1,0.041666666666666664,0.12194059046893402,1.0,agree,0.0,0.0,neutral,neutral,neutral,4.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Open Science Compliance,0.17685682511687068,0.8697113645713275,1,0.02564102564102564,0.07382562435271708,0.9791666666666666,agree,0.07500000000000001,0.03333333333333333,neutral,neutral,same_direction,1.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Open Science Compliance,0.07110083586207228,0.7552844395376408,1,0.02564102564102564,0.05780882682336541,0.928125,partial,0.17708333333333337,0.03333333333333333,positive,neutral,same_direction,2.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Open Science Compliance,0.09704796744876185,0.7978733717485258,1,0.02564102564102564,0.06293967345123275,0.8041666666666667,partial,0.425,0.03333333333333333,positive,neutral,same_direction,3.0,human_y1
