year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,human_reviewer_id,ai_source
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Overall Rating,0.10988846408118412,0.8705144971167991,3,0.08108108108108109,0.031456748497129025,0.868975468975469,partial,0.01825396825396825,0.28030303030303033,neutral,positive,same_direction,1.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Overall Rating,0.15096396029962497,0.8597482442550775,3,0.08108108108108109,0.027552169870146893,0.9511767676767677,agree,0.1826565656565657,0.28030303030303033,positive,positive,same_direction,2.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Overall Rating,0.04722692960667349,0.8209875008115517,1,0.02564102564102564,0.999873490952661,0.9983670033670033,agree,0.277037037037037,0.28030303030303033,positive,positive,same_direction,3.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Overall Rating,0.08423339620440153,0.8437869394776814,3,0.08108108108108109,0.03439203810368721,0.8682733932733933,partial,0.016849816849816845,0.28030303030303033,neutral,positive,same_direction,4.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Overall Rating,0.03420020235767328,0.7645967047885251,2,0.05263157894736842,0.05237767910627643,0.7742559523809524,agree,0.65,0.19851190476190478,positive,positive,same_direction,1.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Overall Rating,0.10772652611937852,0.8223408380693088,4,0.1111111111111111,0.039002856977122455,0.9952606421356421,agree,0.18903318903318903,0.19851190476190478,positive,positive,same_direction,2.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Overall Rating,0.11110318002621528,0.8131148353784927,2,0.05263157894736842,0.9999984201620218,0.9847387566137566,agree,0.16798941798941802,0.19851190476190478,positive,positive,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Overall Rating,0.08373728749984737,0.9031153640212308,3,0.08108108108108109,0.03565254317490577,0.9688322829131653,agree,0.10124999999999999,0.16358543417366947,positive,positive,same_direction,1.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Overall Rating,0.025216666710458815,0.6125755611883202,1,0.027777777777777776,0.06364219904988515,0.8942927170868348,agree,0.375,0.16358543417366947,positive,positive,same_direction,2.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Overall Rating,0.1035777263414083,0.8706348902083736,2,0.05263157894736842,0.040182619924025796,0.8342927170868347,agree,0.495,0.16358543417366947,positive,positive,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Overall Rating,0.07610002405589274,0.7839937094556135,1,0.02564102564102564,0.03421164636774665,0.9282519257703081,partial,0.020089285714285712,0.16358543417366947,neutral,positive,same_direction,4.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Overall Rating,0.06782618053472682,0.8194047857597855,3,0.08108108108108109,0.999956042179886,0.9631498015873016,agree,0.10865079365079365,0.18235119047619044,positive,positive,same_direction,1.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Overall Rating,0.07636446620879475,0.7595386568906833,2,0.05263157894736842,0.03195160682368271,0.9998958333333333,agree,0.18214285714285713,0.18235119047619044,positive,positive,same_direction,2.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Overall Rating,0.06826704954909889,0.7969046868127738,3,0.08108108108108109,0.9999994759081542,0.9916947751322751,agree,0.16574074074074072,0.18235119047619044,positive,positive,same_direction,3.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Overall Rating,0.1263739406023468,0.8083293401341832,5,0.14285714285714285,0.035651850546910724,0.9724718915343915,agree,0.2374074074074074,0.18235119047619044,positive,positive,same_direction,4.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,Overall Rating,0.025738190409803456,0.7703983865937125,0,0.0,0.0333230583032744,0.9817282594856125,partial,0.08599439775910366,0.12253787878787877,neutral,positive,same_direction,1.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,Overall Rating,0.020811596860339128,0.7758055680560906,0,0.0,0.05406410530711829,0.8362689393939393,agree,0.45,0.12253787878787877,positive,positive,same_direction,2.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,Overall Rating,0.06765760908812282,0.802836699675228,2,0.05263157894736842,0.03649123723034298,0.903105674087817,agree,0.3163265306122449,0.12253787878787877,positive,positive,same_direction,3.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,Overall Rating,0.05776277364347671,0.824574967041598,1,0.02564102564102564,0.03678991501346385,0.9703598484848485,agree,0.1818181818181818,0.12253787878787877,positive,positive,same_direction,4.0,human_y1
y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,human-ai,Overall Rating,0.06635361060074789,0.7845873963214511,1,0.02564102564102564,0.035405286765389,0.9937755102040816,agree,0.2566751700680272,0.24422619047619049,positive,positive,same_direction,1.0,human_y1
y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,human-ai,Overall Rating,0.08859819122463651,0.8091903157280089,2,0.05263157894736842,0.0338377337640102,0.9991964285714285,agree,0.24583333333333335,0.24422619047619049,positive,positive,same_direction,2.0,human_y1
