year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,human_reviewer_id,ai_source
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Feasibility,0.04539081951207711,0.7802668346440611,1,0.02564102564102564,0.07090503600175549,0.9745833333333334,agree,0.25333333333333335,0.3041666666666667,positive,positive,same_direction,1.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Feasibility,0.04074270380209076,0.6999876778280945,2,0.05263157894736842,0.0517225746074159,0.9260416666666667,agree,0.15625000000000003,0.3041666666666667,positive,positive,same_direction,2.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Feasibility,0.039753598260071,0.7440309330594549,1,0.02631578947368421,0.08199631325368463,0.8979166666666667,partial,0.1,0.3041666666666667,neutral,positive,same_direction,3.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Feasibility,0.07508445913049572,0.8019555625144177,2,0.06451612903225806,0.999274187721053,0.8479166666666667,partial,0.0,0.3041666666666667,neutral,positive,neutral,4.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Feasibility,0.012559311013552659,0.6615134174217875,0,0.0,0.0706690994925908,0.870813492063492,partial,0.26587301587301587,0.007500000000000018,positive,neutral,same_direction,1.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Feasibility,0.08167782319241472,0.779370329750339,1,0.03333333333333333,0.09814761960941618,0.90375,partial,0.2,0.007500000000000018,positive,neutral,same_direction,2.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Feasibility,0.05666529872979753,0.7809645381590825,0,0.0,0.0697875094356967,0.9454166666666667,partial,0.11666666666666665,0.007500000000000018,positive,neutral,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Feasibility,0.1612269556374894,0.8758115490184673,1,0.02564102564102564,0.05589662677887974,0.9398809523809524,partial,0.004761904761904745,0.125,neutral,positive,same_direction,1.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Feasibility,0.11231515365718099,0.797033393899266,1,0.03225806451612903,0.9988326309923867,0.9875,partial,0.1,0.125,neutral,positive,same_direction,2.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Feasibility,0.0781922538750909,0.7980570280469315,1,0.02564102564102564,0.07279318331402192,0.9791666666666666,agree,0.16666666666666666,0.125,positive,positive,same_direction,3.0,human_y1
